latitude;longitude;dst;zone1;zone2;zone3;gmtOffset1;gmtOffset2;tzone
33.6883;-112.0833;0;;;;-25200;0;America/Phoenix
55.0433;-7.1617;1;1616893200;1635642000;1648342800;3600;0;Europe/London
33.9383;-81.12;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
24.2883;-77.685;1;1615705200;1636264800;1647154800;-14400;-18000;America/Nassau
35.5383;-98.9333;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
27.85;-82.5217;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
40.7833;-91.125;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
40.37;-3.785;1;1616893200;1635642000;1648342800;7200;3600;Europe/Madrid
34.6367;-86.775;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
31.535;-84.195;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
30.3367;-81.515;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
28.29;-81.4367;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
33.6367;-84.4283;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
39.935;32.7417;0;1473195600;;;10800;0;Europe/Istanbul
35.3933;-97.6;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
32.9683;-96.8367;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
37.245;-93.3883;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
37.775;-0.8133;1;1616893200;1635642000;1648342800;7200;3600;Europe/Madrid
-25.9867;28.14;0;;;;7200;0;Africa/Johannesburg
35.9733;-115.135;1;1615716000;1636275600;1647165600;-25200;-28800;America/Los_Angeles
39.2617;-85.8967;1;1615705200;1636264800;1647154800;-14400;-18000;America/Indiana/Indianapolis
40.9767;28.815;0;1473195600;;;10800;0;Europe/Istanbul
36.8633;-99.6183;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
58.7883;16.9033;1;1616893200;1635642000;1648342800;7200;3600;Europe/Stockholm
38.29;27.155;0;1473195600;;;10800;0;Europe/Istanbul
38.8517;-77.0383;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
-38.04;144.47;0;1617465600;1633190400;1648915200;36000;39600;Australia/Melbourne
37.7483;-97.2217;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
41.8;12.5967;1;1616893200;1635642000;1648342800;7200;3600;Europe/Rome
38.6683;-121.4;1;1615716000;1636275600;1647165600;-25200;-28800;America/Los_Angeles
29.18;-81.0583;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
-22.875;-43.385;0;1550368800;;;-10800;0;America/Sao_Paulo
25.795;-80.29;1;1615705200;1636264800;1647154800;-14400;-18000;America/New_York
29.5067;-95.4767;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
-34.5583;-58.4167;0;1237082400;;;-10800;0;America/Argentina/Buenos_Aires
55.5533;38.15;0;1414274400;;;10800;0;Europe/Moscow
43.8617;-79.37;1;1615705200;1636264800;1647154800;-14400;-18000;America/Toronto
39.57;-104.85;1;1615712400;1636272000;1647162000;-21600;-25200;America/Denver
41.9067;-88.2483;1;1615708800;1636268400;1647158400;-18000;-21600;America/Chicago
